"Country","Subject Descriptor","Units","Scale","Country/Series-specific Notes","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Estimates Start After"
"Iraq","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","177.634","168.429","190.048","230.189","236.682","182.576","210.753","288.059","270.799","277.478","258.02","2023"
"Ireland","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","302.422","305.649","348.411","395.641","407.17","436.205","531.66","549.003","551.554","577.216","598.84","2024"
"Israel","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","303.469","321.941","358.453","376.301","400.648","410.771","489.854","525.183","512.185","540.381","583.361","2024"
"Italy","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,845.615","1,886.590","1,970.027","2,100.387","2,019.831","1,905.956","2,180.656","2,105.722","2,305.271","2,372.059","2,422.855","2024"
"Jamaica","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","14.154","14.108","14.755","15.648","15.808","13.885","14.674","17.003","19.315","20.069","21.411","2023"
"Japan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","4,444.931","5,003.678","4,930.837","5,040.881","5,117.995","5,054.069","5,039.148","4,262.146","4,213.167","4,026.211","4,186.431","2024"
"Jordan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","38.642","39.949","41.667","43.432","44.566","43.762","46.362","48.722","51.161","53.428","56.102","2023"
"Kazakhstan","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","184.388","137.278","166.806","179.34","181.667","171.082","197.112","225.496","261.84","284.81","300.538","2023"
"Kenya","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","70.37","74.816","81.965","92.211","100.328","100.912","109.875","114.733","108.747","120.899","131.673","2023"
"Kiribati","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.192","0.207","0.223","0.234","0.217","0.222","0.285","0.271","0.289","0.308","0.312","2023"
"Korea","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,539.212","1,578.816","1,710.197","1,824.251","1,751.046","1,744.456","1,942.314","1,799.363","1,839.058","1,869.714","1,790.322","2024"
"Kosovo","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","6.296","6.681","7.178","7.882","7.9","7.728","9.418","9.375","10.47","11.151","11.274","2023"
"Kuwait","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","114.606","109.399","120.688","138.655","140.855","111.048","148.455","183.977","163.716","158.568","153.101","2023"
"Kyrgyz Republic","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","6.678","6.813","7.703","8.271","9.372","8.283","9.256","12.269","15.187","17.491","19.849","2024"
"Lao P.D.R.","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","14.418","15.904","17.055","18.131","18.77","18.511","18.533","15.121","14.978","15.879","16.322","2024"
"Latvia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","26.347","27.11","29.381","33.263","33.103","33.353","38.209","38.045","42.584","43.508","45.535","2024"
"Lebanon","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","49.929","51.15","53.03","54.9","50.928","24.976","19.782","24.748","23.607","28.28","n/a","2021"
"Lesotho","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2.202","2.206","2.424","2.472","2.323","2.092","2.445","2.275","2.213","2.309","2.404","2023"
"Liberia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","3.092","3.256","3.321","3.264","3.08","3.037","3.509","3.974","4.39","4.818","5.166","2023"
"Libya","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","48.718","49.913","67.153","76.682","69.237","46.893","35.216","43.281","43.958","42.159","47.484","2022"
"Lithuania","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","41.548","42.952","47.745","54.294","55.132","57.352","67.068","71.082","79.824","84.847","89.192","2024"
"Luxembourg","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","60.078","62.2","65.689","71.118","69.88","73.612","86.444","80.865","87.599","93.169","96.613","2023"
"Macao SAR","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","45.048","45.071","50.384","55.191","55.082","25.344","30.969","24.998","45.802","50.182","53.354","2024"
"Madagascar","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.323","11.849","13.176","13.76","14.105","13.051","14.355","15.326","15.87","17.42","18.708","2022"
"Malawi","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","9.014","7.733","8.943","9.882","11.031","11.847","12.475","12.531","13.439","11.797","13.959","2022"
"Malaysia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","301.355","301.256","319.109","358.783","365.178","337.456","373.785","407.605","399.705","419.617","444.984","2024"
"Maldives","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","4.118","4.398","4.809","5.398","5.716","3.706","5.242","6.168","6.581","7.019","7.48","2023"
"Mali","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","13.106","14.022","15.36","17.079","17.281","17.491","19.32","19.319","21.184","22.724","23.208","2023"
"Malta","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.342","12.022","14.156","16.161","16.34","16.397","19.737","19.254","22.217","24.315","25.75","2024"
"Marshall Islands","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.184","0.202","0.214","0.22","0.233","0.242","0.259","0.253","0.259","0.28","0.297","2023"
"Mauritania","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","6.182","6.414","6.826","7.472","7.894","8.464","9.126","9.564","10.649","10.697","11.47","2023"
"Mauritius","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","12.007","12.594","13.714","14.736","14.436","11.408","11.484","12.908","14.101","14.953","15.495","2023"
"Mexico","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,213.294","1,112.233","1,190.721","1,256.300","1,304.106","1,121.065","1,316.569","1,466.465","1,793.799","1,852.723","1,692.640","2024"
"Micronesia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.312","0.327","0.361","0.394","0.395","0.373","0.392","0.416","0.444","0.471","0.5","2022"
"Moldova","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","7.778","7.981","9.515","11.252","11.737","11.53","13.694","14.493","16.751","18.126","19.462","2023"
"Mongolia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.62","11.154","11.481","13.207","14.206","13.313","15.286","17.146","20.315","23.586","25.804","2024"
"Montenegro","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","4.055","4.376","4.855","5.509","5.543","4.777","5.865","6.243","7.532","8.023","8.562","2023"
"Morocco","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","110.414","111.573","118.541","127.341","128.92","121.354","142.022","130.952","144.438","155.35","165.835","2023"
"Mozambique","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","16.209","12.069","13.265","15.017","15.513","14.235","16.168","18.884","20.954","21.944","23.771","2023"
"Myanmar","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","57.338","58.808","60.285","67.051","82.568","65.631","58.264","61.723","61.466","61.176","64.944","2021"
"Namibia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.45","10.719","12.883","13.676","12.539","10.583","12.399","12.564","12.402","13.37","14.214","2024"
"Nauru","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.076","0.1","0.109","0.131","0.125","0.125","0.176","0.152","0.152","0.161","0.169","2021"
"Nepal","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","24.361","24.524","28.972","33.112","34.186","33.434","36.927","41.183","40.907","43.419","46.08","2023"
"Netherlands","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","775.822","796.944","847.934","930.155","929.006","931.814","1,055.173","1,047.364","1,154.694","1,227.174","1,272.011","2024"
